"EVENT" "median_value" "mean_value" "var_value"
"HsaEX0004001" 4.89 18.1929032258065 857.64159256662
"HsaEX0004009" 100 81.2104651162791 674.173409192886
"HsaEX0004025" 89.39 87.4224475524476 132.055659460258
"HsaEX0004044" 69.23 63.9046376811594 979.102394393314
"HsaEX0004095" 82.46 78.5508510638298 281.871967841945
"HsaEX0004102" 65.04 65.480306122449 477.181227740374
"HsaEX0004117" 0 19.2176470588235 1164.81834094351
"HsaEX0004119" 13.42 29.5935087719298 1128.89972386275
"HsaEX0004121" 14.29 25.8346296296296 915.968998926964
"HsaEX0004128" 0.95 24.3753097345133 1302.73542512642
"HsaEX0004132" 0.16 12.7060869565217 516.007908237986
"HsaEX0004133" 20.11 27.3819047619048 772.666773942857
"HsaEX0004134" 47.315 50.525625 1354.38408969595
"HsaEX0004145" 0 17.8656296296296 922.172739712548
"HsaEX0004180" 5.88 12.5767213114754 400.60552469855
"HsaEX0004187" 82.315 75.9623387096774 589.09126359166
"HsaEX0004216" 82.89 81.4866197183099 148.282001258616
"HsaEX0004219" 60 61.518041958042 431.008700364424
"HsaEX0004251" 60.38 58.09104 1008.06839649032
"HsaEX0004280" 20.555 22.065 213.527152836879
"HsaEX0004293" 45.02 47.4595104895105 640.850941307988
"HsaEX0004319" 83.33 80.3713103448276 171.040943409962
"HsaEX0004335" 10.865 14.5006349206349 196.033079593651
"HsaEX0004338" 18.21 20.2539705882353 238.586167821351
"HsaEX0004350" 61.9 62.8315172413793 189.63497545977
"HsaEX0004368" 97.3 86.4970229007634 555.479967222548
"HsaEX0004372" 4.53 12.7348507462687 386.248166518909
"HsaEX0004387" 83.975 71.4919811320755 1130.4157779425
"HsaEX0004426" 84.59 82.648345323741 209.698906662496
"HsaEX0004458" 100 81.9981707317073 1024.29252871123
"HsaEX0004477" 80.83 67.0795238095238 1332.22919493088
"HsaEX0004480" 88.415 84.897323943662 221.657794206373
"HsaEX0004515" 9.33 14.9006896551724 274.196891187739
"HsaEX0004532" 57.14 62.1728813559322 986.38223265247
"HsaEX0004533" 100 87.4236842105263 542.630101350722
"HsaEX0004543" 76.47 72.8990476190476 800.777589047619
"HsaEX0004561" 69.81 69.595811965812 322.629710757442
"HsaEX0004568" 14.29 17.6535862068966 279.521953716475
"HsaEX0004576" 75 68.7028971962617 979.030832093105
"HsaEX0004615" 81.75 79.2606428571429 278.769331238438
"HsaEX0004617" 6.48 14.9185496183206 447.27600634175
"HsaEX0004620" 91.205 58.0127631578947 2107.11284159649
"HsaEX0004622" 35.71 42.5762857142857 1035.00626972527
"HsaEX0004623" 33.33 38.7846601941748 1209.23750944222
"HsaEX0004635" 7.295 22.1063095238095 963.585153686173
"HsaEX0004649" 54.07 57.7296226415094 1146.65150461815
"HsaEX0004661" 2.795 15.0825862068966 745.706504557721
"HsaEX0004693" 20 23.91875 674.019506866197
"HsaEX0004725" 70.89 70.2484057971015 272.004879191791
"HsaEX0004733" 44.655 52.3155882352941 1096.99039509804
"HsaEX0004737" 7.44 13.8568939393939 300.124362034467
"HsaEX0004754" 83.78 81.1636170212766 207.964151823708
"HsaEX0004766" 10.93 18.8875531914894 650.72579717456
"HsaEX0004788" 21.085 28.5960869565217 992.363173530817
"HsaEX0004790" 68.735 62.441 1464.35435684211
"HsaEX0004791" 34.47 42.113125 905.712723022152
"HsaEX0004796" 66.95 63.32784 1080.23829287742
"HsaEX0004797" 100 86.6295789473684 435.519097693169
"HsaEX0004851" 84.54 67.7864285714286 1286.41942113402
"HsaEX0004852" 7.715 27.9758 1374.60842056566
"HsaEX0004861" 92.31 84.035034965035 474.479943484684
"HsaEX0004865" 35.35 36.849 669.801957266187
"HsaEX0004866" 1.2 16.1022302158273 821.375076874153
"HsaEX0004886" 12.56 14.6831851851852 195.037205450525
"HsaEX0004888" 87.8 84.4106870229008 173.92123106283
"HsaEX0004919" 2.09 13.6645652173913 631.290461488416
